* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
70, badlands, minecraft:badlands, MONSTER, mocreatures:silverskeleton, 70, 1, 1
71, badlands, minecraft:badlands, MONSTER, mocreatures:darkmanticore, 50, 1, 3
72, badlands, minecraft:badlands, MONSTER, mocreatures:cavescorpion, 50, 1, 3
73, badlands, minecraft:badlands, MONSTER, threateningly_mobs:moon_priest, 10, 1, 1
74, badlands, minecraft:badlands, MONSTER, fantasyfauna:mushcap_glowing, 50, 2, 4
75, badlands, minecraft:badlands, MONSTER, knights:noble, 50, 1, 1
76, badlands, minecraft:badlands, MONSTER, ddenizens:orc, 35, 1, 1
77, badlands, minecraft:badlands, MONSTER, threateningly_mobs:ore_drill, 32, 1, 1
78, badlands, minecraft:badlands, MONSTER, majruszsdifficulty:cursed_armor, 50, 1, 1
79, badlands, minecraft:badlands, MONSTER, majruszsdifficulty:illusioner, 10, 1, 1
80, badlands, minecraft:badlands, MONSTER, mobz:tank_zombie, 10, 1, 1
81, badlands, minecraft:badlands, MONSTER, knights:peasant, 60, 2, 3
82, badlands, minecraft:badlands, MONSTER, fantasyfauna:possessed_armor, 20, 1, 1
83, badlands, minecraft:badlands, MONSTER, creatures_expanded:prosperisher_zombie, 50, 1, 2
84, badlands, minecraft:badlands, MONSTER, glorious_creatures:psychic_anomaly, 20, 1, 1
85, badlands, minecraft:badlands, MONSTER, pumpeddesertremake:red_sand_storm, 20, 4, 4
86, badlands, minecraft:badlands, MONSTER, threateningly_mobs:sandworm, 15, 1, 1
87, badlands, minecraft:badlands, MONSTER, iter_rpg:scallop, 50, 1, 2
88, badlands, minecraft:badlands, MONSTER, ddenizens:shadow, 30, 1, 1
89, badlands, minecraft:badlands, MONSTER, creatures_expanded:shadowfiend, 35, 1, 2
90, badlands, minecraft:badlands, MONSTER, ddenizens:shadowlord, 15, 1, 1
91, badlands, minecraft:badlands, MONSTER, ddenizens:skeleton_warrior, 50, 1, 2
92, badlands, minecraft:badlands, MONSTER, threateningly_mobs:solscarab_maximus, 10, 1, 1
93, badlands, minecraft:badlands, MONSTER, mobz:archer, 10, 1, 2
94, badlands, minecraft:badlands, MONSTER, mobz:bigboss, 50, 1, 1
95, badlands, minecraft:badlands, MONSTER, mobz:boss_skeleton, 60, 1, 1
96, badlands, minecraft:badlands, MONSTER, mobz:boss_zombie, 70, 1, 1
97, badlands, minecraft:badlands, MONSTER, mobz:illusioner, 10, 1, 1
98, badlands, minecraft:badlands, MONSTER, mobz:lord_of_darkness, 10, 1, 1
99, badlands, minecraft:badlands, MONSTER, mobz:spider_mage, 40, 1, 1
100, badlands, minecraft:badlands, MONSTER, minecraft:cave_spider, 50, 4, 4
101, badlands, minecraft:badlands, MONSTER, specialmobs:endercreeper, 10, 1, 4
102, badlands, minecraft:badlands, MONSTER, ddenizens:spectator, 25, 1, 1
103, badlands, minecraft:badlands, MONSTER, iter_rpg:spiderling, 10, 5, 8
104, badlands, minecraft:badlands, MONSTER, threateningly_mobs:steelboar, 10, 1, 1
105, badlands, minecraft:badlands, MONSTER, threateningly_mobs:strong_zombie, 12, 1, 2
106, badlands, minecraft:badlands, MONSTER, creatures_expanded:tremorgue, 25, 1, 2
107, badlands, minecraft:badlands, MONSTER, creatures_expanded:undead_necromancer, 35, 1, 1
108, badlands, minecraft:badlands, MONSTER, terramity:uvogre, 10, 1, 1
109, badlands, minecraft:badlands, MONSTER, iter_rpg:void_elemental, 40, 1, 1
110, badlands, minecraft:badlands, MONSTER, iter_rpg:water_elemental, 20, 1, 2
111, badlands, minecraft:badlands, MONSTER, ddenizens:winged_skeleton, 70, 1, 1
112, badlands, minecraft:badlands, MONSTER, terra_entity:yellow_slime, 15, 3, 3
113, badlands, minecraft:badlands, MONSTER, terra_entity:purple_slime, 15, 3, 3
114, badlands, minecraft:badlands, MONSTER, terra_entity:red_slime, 15, 3, 3
115, badlands, minecraft:badlands, MONSTER, terra_entity:desert_slime, 60, 1, 3
116, badlands, minecraft:badlands, MONSTER, pumpeddesertremake:sand_storm, 40, 1, 1
117, badlands, minecraft:badlands, MONSTER, specialmobs:giantskeleton, 70, 1, 1
118, badlands, minecraft:badlands, MONSTER, iter_rpg:griever, 30, 1, 1
119, badlands, minecraft:badlands, MONSTER, iter_rpg:prismaw, 30, 1, 1
120, badlands, minecraft:badlands, CREATURE, minecraft:pig, 20, 1, 1
121, badlands, minecraft:badlands, CREATURE, minecraft:pig, 20, 1, 1
122, badlands, minecraft:badlands, AMBIENT, valarian_conquest:bandit_1, 20, 1, 1
123, badlands, minecraft:badlands, MONSTER, terra_entity:green_slime, 60, 1, 3
125, badlands, minecraft:badlands, MONSTER, mobz:small_zombie, 70, 1, 1
126, badlands, minecraft:badlands, MONSTER, wrd:petrified_skeletonm, 10, 1, 1
127, badlands, minecraft:badlands, MONSTER, valarian_conquest:orc_berserker, 70, 1, 1
128, badlands, minecraft:badlands, MONSTER, terra_entity:dungeon_slime, 80, 1, 3
129, badlands, minecraft:badlands, MONSTER, terra_entity:corrupt_slime, 15, 1, 3
130, badlands, minecraft:badlands, MONSTER, wrd:dirty_skeleton, 40, 1, 1
131, badlands, minecraft:badlands, MONSTER, majruszsdifficulty:giant, 50, 1, 1
133, badlands, minecraft:badlands, MONSTER, mocreatures:undeadscorpion, 50, 1, 1
134, badlands, minecraft:badlands, MONSTER, mobz:zombie_mage, 70, 1, 1
135, badlands, minecraft:badlands, MONSTER, terra_entity:evil_slime, 80, 1, 3
136, badlands, minecraft:badlands, MONSTER, iter_rpg:peeper, 5, 1, 1
137, badlands, minecraft:badlands, MONSTER, terra_entity:blue_slime, 50, 1, 3
138, badlands, minecraft:badlands, MONSTER, wrd:speared_petrified_skeleton_m, 10, 1, 1
139, badlands, minecraft:badlands, MONSTER, wrd:buff_zombie, 10, 1, 1
140, badlands, minecraft:badlands, MONSTER, terramity:elite_skeleton, 10, 1, 1
141, badlands, minecraft:badlands, MONSTER, iter_rpg:carcass, 30, 1, 1
142, badlands, minecraft:badlands, MONSTER, valarian_conquest:orc_warrior, 70, 1, 1
143, badlands, minecraft:badlands, MONSTER, iter_rpg:fiend, 60, 1, 1
144, badlands, minecraft:badlands, MONSTER, terra_entity:black_slime, 80, 1, 3
147, badlands, minecraft:badlands, MONSTER, terra_entity:crimson_slime, 15, 1, 3
148, badlands, minecraft:badlands, MONSTER, specialmobs:bruteskeleton, 70, 1, 1
149, badlands, minecraft:badlands, MONSTER, specialmobs:gatlingskeleton, 70, 1, 1
150, badlands, minecraft:badlands, MONSTER, specialmobs:knightskeleton, 70, 1, 1
151, badlands, minecraft:badlands, MONSTER, specialmobs:ninjaskeleton, 70, 1, 1
152, badlands, minecraft:badlands, MONSTER, specialmobs:sniperskeleton, 70, 1, 1
153, badlands, minecraft:badlands, MONSTER, specialmobs:brutezombie, 70, 1, 1
154, badlands, minecraft:badlands, MONSTER, specialmobs:plaguezombie, 70, 1, 1
156, badlands, minecraft:badlands, MONSTER, specialmobs:fishingzombie, 70, 1, 1
157, badlands, minecraft:badlands, MONSTER, specialmobs:hungryzombie, 70, 1, 1
158, badlands, minecraft:badlands, MONSTER, wrd:bulky_ancient_skeleton, 15, 1, 1
159, badlands, minecraft:badlands, MONSTER, wrd:ancient_skeleton_skull, 20, 1, 1
160, badlands, minecraft:badlands, MONSTER, specialmobs:minicreeper, 40, 1, 1
161, badlands, minecraft:badlands, MONSTER, valarian_conquest:gardonian_knight, 5, 1, 1
162, badlands, minecraft:badlands, MONSTER, valarian_conquest:visgothian_archer, 30, 1, 1
163, badlands, minecraft:badlands, MONSTER, specialmobs:desertspider, 40, 1, 1
164, badlands, minecraft:badlands, MONSTER, specialmobs:desertcavespider, 40, 1, 1
165, badlands, minecraft:badlands, MONSTER, valarian_conquest:orc_raider, 10, 1, 1
166, badlands, minecraft:badlands, MONSTER, valarian_conquest:numerian_spearman, 20, 1, 1
167, badlands, minecraft:badlands, MONSTER, specialmobs:infernoblaze, 40, 1, 1
169, badlands, minecraft:badlands, MONSTER, wrd:antlion, 70, 1, 1
170, badlands, minecraft:badlands, CREATURE, minecraft:pig, 20, 1, 1
171, badlands, minecraft:badlands, CREATURE, minecraft:pig, 20, 1, 1
172, badlands, minecraft:badlands, CREATURE, minecraft:pig, 20, 1, 1
173, badlands, minecraft:badlands, CREATURE, minecraft:pig, 20, 1, 1
174, badlands, minecraft:badlands, MONSTER, threateningly_mobs:solscarab_maximus, 20, 1, 1
175, badlands, minecraft:badlands, CREATURE, minecraft:pig, 20, 1, 1
176, badlands, minecraft:badlands, CREATURE, minecraft:pig, 20, 1, 1
177, badlands, minecraft:badlands, CREATURE, mythicmounts:firebird, 10, 1, 1
178, badlands, minecraft:badlands, CREATURE, iceandfire:hippogryph, 60, 1, 1
179, badlands, minecraft:badlands, CREATURE, mocreatures:mouse, 10, 1, 2
180, badlands, minecraft:badlands, CREATURE, mocreatures:bird, 16, 2, 3
181, badlands, minecraft:badlands, CREATURE, mocreatures:lion, 10, 1, 3
182, badlands, minecraft:badlands, CREATURE, mocreatures:snake, 14, 1, 2
183, badlands, minecraft:badlands, CREATURE, mocreatures:filchlizard, 10, 1, 2
184, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
185, badlands, minecraft:badlands, AMBIENT, terramity:blue_fairy, 10, 1, 2
186, badlands, minecraft:badlands, AMBIENT, ddenizens:boulder, 35, 1, 1
187, badlands, minecraft:badlands, AMBIENT, terramity:cave_gnome, 15, 1, 3
188, badlands, minecraft:badlands, AMBIENT, mythicmounts:dragon, 10, 1, 1
189, badlands, minecraft:badlands, AMBIENT, mythicmounts:geckotoalizard, 10, 1, 1
190, badlands, minecraft:badlands, AMBIENT, terramity:green_fairy, 10, 2, 3
191, badlands, minecraft:badlands, AMBIENT, mocreatures:ant, 12, 1, 4
192, badlands, minecraft:badlands, AMBIENT, terramity:pink_fairy, 10, 1, 2
193, badlands, minecraft:badlands, AMBIENT, pumpeddesertremake:red_fennec, 10, 1, 3
194, badlands, minecraft:badlands, AMBIENT, pumpeddesertremake:red_snake, 10, 1, 1
195, badlands, minecraft:badlands, CREATURE, terra_entity:painter, 10, 1, 1
196, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
197, badlands, minecraft:badlands, WATER_CREATURE, world:hydra, 80, 1, 1
198, badlands, minecraft:badlands, WATER_CREATURE, world:kraken, 80, 1, 1
199, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 80, 4, 4
200, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 4, 4
201, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 10, 1, 1
202, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
203, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:creeper, 80, 4, 4
204, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
205, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 20, 1, 4
206, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 20, 1, 1
207, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 10, 1, 1
208, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:abomination, 20, 1, 1
209, jungle, minecraft:bamboo_jungle, MONSTER, monsterplus:abyssologer, 10, 1, 1
210, jungle, minecraft:bamboo_jungle, MONSTER, iter_rpg:air_elemental, 15, 1, 2
211, jungle, minecraft:bamboo_jungle, MONSTER, knights:archer, 40, 2, 3
212, jungle, minecraft:bamboo_jungle, MONSTER, iter_rpg:axebeak, 10, 1, 2
213, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:beholder, 10, 1, 1
214, jungle, minecraft:bamboo_jungle, MONSTER, iter_rpg:bloated, 10, 1, 1
215, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:brood_spider, 35, 1, 1
216, jungle, minecraft:bamboo_jungle, MONSTER, threateningly_mobs:cave_hunter, 12, 1, 1
217, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:crumbling_skeleton, 50, 1, 1
218, jungle, minecraft:bamboo_jungle, MONSTER, monsterplus:crystal_zombie, 80, 2, 7
219, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:crystalline_golem, 20, 1, 1
220, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:crystalline_spider, 45, 1, 3
221, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:daemon, 10, 1, 1
222, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:death_tyrant, 10, 1, 1
223, jungle, minecraft:bamboo_jungle, MONSTER, threateningly_mobs:elite_zombie_warrior, 10, 1, 2
224, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:embersmog, 40, 1, 3
225, jungle, minecraft:bamboo_jungle, MONSTER, iter_rpg:event_spawn, 20, 1, 1
226, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:fossilized_skeleton, 25, 1, 2
227, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:fungal_ghoul, 60, 1, 2
228, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:gargoyle, 50, 1, 3
229, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:gazer, 25, 1, 1
230, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:ghoul, 25, 1, 1
231, jungle, minecraft:bamboo_jungle, MONSTER, iter_rpg:giant_spider, 10, 1, 1
232, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:gloomknight, 5, 1, 1
233, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:gloomweaver, 30, 1, 2
234, jungle, minecraft:bamboo_jungle, MONSTER, monsterplus:glow_skeleton, 80, 1, 5
235, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:gnasheart, 60, 1, 4
236, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:graven, 36, 3, 5
237, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:headless, 40, 1, 1
238, jungle, minecraft:bamboo_jungle, MONSTER, knights:heavyknight, 40, 1, 1
239, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:iron_skeleton, 15, 1, 1
240, jungle, minecraft:bamboo_jungle, MONSTER, knights:knight, 50, 3, 5
241, jungle, minecraft:bamboo_jungle, MONSTER, threateningly_mobs:lich_re, 10, 1, 1
242, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:magma_skeleton, 40, 1, 1
243, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:miststalker, 40, 1, 1
244, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:harpy, 60, 1, 2
245, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:hornet, 80, 1, 2
246, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:jungle_bat, 40, 1, 2
247, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:jungle_slime, 40, 1, 2
248, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:man_eater, 80, 1, 1
249, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:snatcher, 40, 1, 1
250, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:piranha, 40, 2, 3
251, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:big_helmet_anger_bones, 20, 1, 1
252, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:big_muscle_anger_bones, 20, 1, 1
253, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:big_bones, 40, 1, 2
254, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:short_bones, 40, 1, 2
255, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:anger_bones, 40, 1, 2
256, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:big_anger_bones, 30, 1, 2
257, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:cursed_skull, 15, 1, 1
258, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:dark_caster, 20, 1, 1
259, jungle, minecraft:bamboo_jungle, MONSTER, mocreatures:dirtscorpion, 10, 1, 3
260, jungle, minecraft:bamboo_jungle, MONSTER, mocreatures:cavescorpion, 50, 1, 3
261, jungle, minecraft:bamboo_jungle, MONSTER, threateningly_mobs:moon_priest, 10, 1, 1
262, jungle, minecraft:bamboo_jungle, MONSTER, fantasyfauna:mushcap_glowing, 50, 2, 4
263, jungle, minecraft:bamboo_jungle, MONSTER, knights:noble, 50, 1, 1
264, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:orc, 35, 1, 1
265, jungle, minecraft:bamboo_jungle, MONSTER, threateningly_mobs:ore_drill, 32, 1, 1
266, jungle, minecraft:bamboo_jungle, MONSTER, monsterplus:overgrown_skeleton, 80, 1, 5
267, jungle, minecraft:bamboo_jungle, MONSTER, majruszsdifficulty:cursed_armor, 50, 1, 1
268, jungle, minecraft:bamboo_jungle, MONSTER, majruszsdifficulty:illusioner, 10, 1, 1
269, jungle, minecraft:bamboo_jungle, MONSTER, mobz:tank_zombie, 10, 1, 1
270, jungle, minecraft:bamboo_jungle, MONSTER, knights:peasant, 60, 2, 3
271, jungle, minecraft:bamboo_jungle, MONSTER, fantasyfauna:possessed_armor, 20, 1, 1
272, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:prosperisher_zombie, 50, 1, 2
273, jungle, minecraft:bamboo_jungle, MONSTER, iter_rpg:scallop, 50, 1, 2
274, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:shadow, 30, 1, 1
275, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:shadowfiend, 35, 1, 2
276, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:shadowlord, 15, 1, 1
277, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:skeleton_warrior, 50, 1, 2
278, jungle, minecraft:bamboo_jungle, MONSTER, mobz:armored_zombie, 70, 1, 1
279, jungle, minecraft:bamboo_jungle, MONSTER, mobz:blue_spider, 20, 2, 3
280, jungle, minecraft:bamboo_jungle, MONSTER, mobz:bowman, 50, 1, 2
281, jungle, minecraft:bamboo_jungle, MONSTER, mobz:cookie_creeper, 10, 1, 2
282, jungle, minecraft:bamboo_jungle, MONSTER, mobz:dwarf, 10, 1, 1
283, jungle, minecraft:bamboo_jungle, MONSTER, mobz:fast_zombie, 70, 1, 1
284, jungle, minecraft:bamboo_jungle, MONSTER, mobz:honey_slime, 10, 1, 1
285, jungle, minecraft:bamboo_jungle, MONSTER, mobz:iron_steve, 30, 1, 1
286, jungle, minecraft:bamboo_jungle, MONSTER, mobz:lost_skeleton, 70, 1, 1
287, jungle, minecraft:bamboo_jungle, MONSTER, mobz:overgrown_skeleton, 15, 2, 4
288, jungle, minecraft:bamboo_jungle, MONSTER, mobz:purple_spider, 15, 1, 4
289, jungle, minecraft:bamboo_jungle, MONSTER, mobz:tank_zombie, 30, 1, 2
290, jungle, minecraft:bamboo_jungle, MONSTER, mobz:templar, 40, 1, 1
291, jungle, minecraft:bamboo_jungle, MONSTER, mobz:warrior, 10, 1, 2
292, jungle, minecraft:bamboo_jungle, MONSTER, mobz:zombie_mage, 70, 1, 1
293, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:cave_spider, 50, 4, 4
294, jungle, minecraft:bamboo_jungle, MONSTER, specialmobs:endercreeper, 10, 1, 4
295, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:spectator, 25, 1, 1
296, jungle, minecraft:bamboo_jungle, MONSTER, iter_rpg:spiderling, 10, 5, 8
297, jungle, minecraft:bamboo_jungle, MONSTER, threateningly_mobs:strong_zombie, 12, 1, 2
298, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:tremorgue, 25, 1, 2
299, jungle, minecraft:bamboo_jungle, MONSTER, creatures_expanded:undead_necromancer, 35, 1, 1
300, jungle, minecraft:bamboo_jungle, MONSTER, terramity:uvogre, 10, 1, 1
301, jungle, minecraft:bamboo_jungle, MONSTER, iter_rpg:void_elemental, 40, 1, 1
302, jungle, minecraft:bamboo_jungle, MONSTER, iter_rpg:water_elemental, 20, 1, 2
303, jungle, minecraft:bamboo_jungle, MONSTER, ddenizens:winged_skeleton, 70, 1, 1
304, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:yellow_slime, 15, 3, 3
305, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:blue_slime, 50, 3, 3
306, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:purple_slime, 15, 3, 3
307, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:red_slime, 15, 3, 3
308, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:green_slime, 60, 3, 3
309, jungle, minecraft:bamboo_jungle, MONSTER, terra_entity:jungle_slime, 60, 1, 3
310, jungle, minecraft:bamboo_jungle, MONSTER, specialmobs:giantskeleton, 70, 1, 1
311, jungle, minecraft:bamboo_jungle, MONSTER, iter_rpg:griever, 30, 1, 1
312, jungle, minecraft:bamboo_jungle, MONSTER, mocreatures:biggolem, 20, 1, 1
313, jungle, minecraft:bamboo_jungle, MONSTER, iter_rpg:prismaw, 30, 1, 1
314, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 20, 1, 1
315, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 20, 1, 1
